HAVG,AAVG,HSLG,ASLG,HOBP,AOBP,HRBIP,ARBIP,HOAVG,AOAVG,HOOBP,AOOBP,HWHIP,AWHIP,HERA,AERA,HQSP,AQSP,HPhyta,APhyta,HRank,HWP,AWP,HOPS,AOPS,HGPA,AGPA,HERA * ARBIP,AERA * HRBIP,HWHIP * AGPA / 9,AWHIP * HGPA / 9,(HPhyta + HWP)/2,(APhyta + AWP)/2,HHitter,AHitter,HPitcher,APitcher,HResult
0.271,0.3046,0.3916,0.48,0.3598,0.3803,2.7326,5.1047,0.2992,0.2811,0.3759,0.3317,1.6023,1.3478,6.5966,4.5,0.6875,0.6875,0.4747388505335907,0.5955878932843939,0.4723,0.4723,0.5696,0.7514000000000001,0.8603000000000001,0.25981,0.269035,33.67366402,12.296700000000001,0.047897197833333335,0.03890799088888889,0.47351942526679536,0.582593946642197,3.7550000000000003,6.2696000000000005,9.561499999999999,7.1481,lose
0.2747,0.2852,0.4426,0.4738,0.3484,0.3686,3.0588,4.2159,0.2898,0.2532,0.3523,0.3063,1.5,1.2097,3.7385,3.7016,0.8333,0.7895,0.4575655947160943,0.4767981621307415,0.4677,0.4677,0.4508,0.7909999999999999,0.8424,0.26743,0.27652,15.761142150000003,11.32245408,0.046086666666666665,0.035945563444444446,0.4626327973580472,0.4637990810653707,4.1245,5.343500000000001,6.713900000000001,6.260300000000001,win
0.2968,0.3121,0.4614,0.4633,0.3709,0.389,3.7529,4.1905,0.2704,0.1882,0.2989,0.266,1.1942,0.96,3.801,1.08,0.7692,1.0,0.5991332864499791,0.5389445997400447,0.547,0.547,0.5124,0.8323,0.8523000000000001,0.282255,0.2904,15.928090500000001,4.053132,0.03853285333333333,0.030107199999999994,0.5730666432249896,0.5256722998700223,4.882,5.354900000000001,6.333699999999999,3.4942,lose
0.2639,0.3051,0.3835,0.4796,0.352,0.3816,2.977,5.1609,0.2524,0.3022,0.3583,0.3639,1.557,1.6546,6.1519,7.6546,0.6842,0.4286,0.4700578987374916,0.5992228197117486,0.4714,0.4714,0.5732,0.7355,0.8612,0.254275,0.267595,31.749340710000002,22.7877442,0.046293935,0.04674704611111111,0.47072894936874576,0.5862114098558744,3.9764,6.3271999999999995,9.003800000000002,10.4039,win
0.28,0.2907,0.4646,0.486,0.3548,0.3751,3.314,4.1236,0.2632,0.3,0.3333,0.3902,1.3256,1.7283,3.1395,6.75,0.6667,0.7368,0.459517331303443,0.47625863413185787,0.4688,0.4688,0.4515,0.8194,0.8611,0.27581,0.284945,12.946042199999999,22.369500000000002,0.04196923244444444,0.05296471366666666,0.4641586656517215,0.46387931706592894,4.4134,5.275399999999999,5.7283,9.9053,lose
0.2912,0.3094,0.4582,0.4569,0.3701,0.3865,4.7558,4.2824,0.2489,0.2324,0.3664,0.3707,1.5523,1.6719,4.5523,5.4844,0.75,0.7059,0.5918821295752852,0.5443356657063692,0.546,0.546,0.5178,0.8283,0.8433999999999999,0.281095,0.288475,19.49476952,26.082709519999998,0.04975552694444444,0.052218081166666666,0.5689410647876426,0.5310678328531846,5.875299999999999,5.4352,7.4699,8.4653,win
0.2603,0.2762,0.3993,0.4092,0.3431,0.3582,3.2135,3.4318,0.2873,0.255,0.3288,0.3509,1.2286,1.5,3.4714,3.8405,0.75,0.75,0.44213736679792526,0.3397229107761644,0.4586,0.4586,0.4018,0.7424,0.7674000000000001,0.25422,0.261015,11.91315052,12.34144675,0.03563144766666666,0.04237,0.45036868339896263,0.3707614553880822,4.2162,4.4754000000000005,6.0661000000000005,6.696400000000001,win
0.2717,0.3054,0.3961,0.4815,0.3609,0.3829,3.2727,5.0,0.2703,0.2537,0.3617,0.2886,1.5734,1.1577,5.1923,3.5746,0.6316,0.6111,0.4711487194735569,0.5979705098519315,0.4724,0.4724,0.5717,0.757,0.8644000000000001,0.26143,0.27133,25.9615,11.69859342,0.04743451355555556,0.033628612333333335,0.47177435973677845,0.5848352549259657,4.3014,6.1698,8.029300000000001,5.8857,lose
0.2727,0.2905,0.4396,0.4828,0.3457,0.3722,3.2989,4.4222,0.2691,0.2534,0.3387,0.3188,1.4286,1.2471,4.2589,3.689,0.5,0.75,0.4534222990634491,0.4821011434729587,0.4678,0.4678,0.4589,0.7853,0.855,0.265465,0.27739,18.83370758,12.1696421,0.04403103933333334,0.03678460016666667,0.46061114953172455,0.4705005717364793,4.3568999999999996,5.5677,6.795299999999999,6.2583,lose
0.2877,0.3115,0.4498,0.4693,0.3642,0.3906,5.3448,3.9767,0.2621,0.3333,0.3097,0.3929,1.2321,1.8,3.6161,7.3286,0.6667,0.5,0.5935308783696492,0.5408191688398342,0.5468,0.5468,0.5146,0.8140000000000001,0.8599,0.27634000000000003,0.28822000000000003,14.38014487,39.16990128,0.039457318,0.05526800000000001,0.5701654391848245,0.5277095844199171,6.4465,5.1481,6.0866999999999996,10.354800000000001,lose
